year,source_period,geography,country_or_area,african_subregion,population,margin_of_error,source_symbol,unit,measure_scope,value_status,coverage_status,subregion_assignment_status,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
2020,2016-2020,Bergen County,Egypt,Northern Africa,2509,524,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_egypt,Africa > Northern Africa,Estimate!!Total:!!Africa:!!Northern Africa:!!Egypt,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-101,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=524; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Morocco,Northern Africa,249,110,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_northern_africa_morocco,Africa > Northern Africa,Estimate!!Total:!!Africa:!!Northern Africa:!!Morocco,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-102,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=110; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Sudan,Northern Africa,0,30,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_northern_africa_sudan,Africa > Northern Africa,Estimate!!Total:!!Africa:!!Northern Africa:!!Sudan,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-103,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=30; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,South Africa,Southern Africa,592,267,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_south_africa,Africa > Southern Africa,Estimate!!Total:!!Africa:!!Southern Africa:!!South Africa,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-106,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=267; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Cabo Verde,Western Africa,34,55,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_cabo_verde,Africa > Western Africa,Estimate!!Total:!!Africa:!!Western Africa:!!Cabo Verde,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-206,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=55; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Ghana,Western Africa,1149,437,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_ghana,Africa > Western Africa,Estimate!!Total:!!Africa:!!Western Africa:!!Ghana,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-109,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=437; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Liberia,Western Africa,46,58,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_liberia,Africa > Western Africa,Estimate!!Total:!!Africa:!!Western Africa:!!Liberia,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-110,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=58; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Nigeria,Western Africa,745,223,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_nigeria,Africa > Western Africa,Estimate!!Total:!!Africa:!!Western Africa:!!Nigeria,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-111,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=223; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Senegal,Western Africa,18,30,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_senegal,Africa > Western Africa,Estimate!!Total:!!Africa:!!Western Africa:!!Senegal,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-207,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=30; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
2020,2016-2020,Bergen County,Sierra Leone,Western Africa,0,30,,persons,foreign_born_population,survey_estimate,selected_published_countries_with_residual_categories_omitted,source_published_hierarchy,foreign_born_country_of_birth_africa_western_africa_sierra_leone,Africa > Western Africa,Estimate!!Total:!!Africa:!!Western Africa:!!Sierra Leone,B05006,B05006: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,BC-2020-112,2016-2020 ACS 5-Year Estimates,https://api.census.gov/data/2020/acs/acs5/groups/B05006.html,bergen_county_2020_acs_immigration_cleaned.csv,retrieved_and_moe_matched,"source_period=2016-2020; geoid=05000US34003; margin_of_error=30; estimate_annotation=none; moe_annotation=none; 2016–2020 ACS 5-Year estimate; sample-based period estimate. Country-only extract from bergen_county_master_provenance.csv. Continent totals, subregion totals, and residual “Other”/n.e.c. categories are excluded, so country rows must not be summed as a complete Africa total."
